,td,dataset,file,prop,subevent,role,causation,syntax,entities,relations,statements,density,3_statements,5_statements,in_degree_3,out_degree_3,in_degree_5,in_degree_simple_hr,out_degree_simple_hr
22,simple-triple,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_sp,inference_valid.csv,1,0,0,1,simple_rdf_sp,189,27,143,4.8902146804244705e-05,143,0,1.036231884057971,1.9861111111111112,0,0,0
23,simple-triple,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_sp,inference_test.csv,1,0,0,1,simple_rdf_sp,165,24,120,6.944444444444444e-05,120,0,1.0344827586206897,1.6666666666666667,0,0,0
24,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_simple_rdf_sp,train.csv,1,0,1,1,simple_rdf_sp,410495,1028,925299,1.1679810978373156e-12,925299,0,3.3632255973901612,2.2675376257772477,0,0,0
25,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_simple_rdf_sp,inference_graph.csv,1,0,1,1,simple_rdf_sp,74327,803,129054,6.004226405227941e-11,129054,0,4.092234709796555,1.7639639886915708,0,0,0
26,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_simple_rdf_sp,inference_valid.csv,1,0,1,1,simple_rdf_sp,28216,540,23266,1.8473813395375395e-09,23266,0,1.6871646120377084,1.4432107189380312,0,0,0
27,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_simple_rdf_sp,inference_test.csv,1,0,1,1,simple_rdf_sp,15025,441,12323,6.5851716987047676e-09,12323,0,1.6610055263512602,1.446022060549167,0,0,0
28,simple-triple,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp,train.csv,0,0,0,1,simple_rdf_sp,3055,131,5634,3.1504044678280065e-08,5634,0,2.0125134072220234,2.121748963437618,0,0,0
29,simple-triple,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp,inference_graph.csv,0,0,0,1,simple_rdf_sp,919,101,1277,6.132226752575075e-07,1277,0,2.148397976391231,1.73806275579809,0,0,0
30,simple-triple,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp,inference_valid.csv,0,0,0,1,simple_rdf_sp,189,27,143,4.8902146804244705e-05,143,0,1.036231884057971,1.9861111111111112,0,0,0
31,simple-triple,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp,inference_test.csv,0,0,0,1,simple_rdf_sp,165,24,120,6.944444444444444e-05,120,0,1.0344827586206897,1.6666666666666667,0,0,0
32,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_0_syntax_simple_rdf_prop,train.csv,1,0,1,0,simple_rdf_prop,407332,1025,919936,1.1816388763635252e-12,919936,0,3.3712927442594665,2.270401566413097,0,0,0
33,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_0_syntax_simple_rdf_prop,inference_graph.csv,1,0,1,0,simple_rdf_prop,73776,799,128207,6.08382235109052e-11,128207,0,4.109094419772156,1.7630586968228326,0,0,0
34,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_0_syntax_simple_rdf_prop,inference_valid.csv,1,0,1,0,simple_rdf_prop,27996,538,23160,1.8643304369095666e-09,23160,0,1.6919929865575687,1.4470477975632614,0,0,0
35,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_0_syntax_simple_rdf_prop,inference_test.csv,1,0,1,0,simple_rdf_prop,14910,439,12229,6.686796554435496e-09,12229,0,1.666530389751976,1.4400612341026848,0,0,0
36,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_simple_rdf_prop,train.csv,1,0,1,1,simple_rdf_prop,408664,1026,922554,1.1749419432678215e-12,922554,0,3.364452010506435,2.2710011663547345,0,0,0
37,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_simple_rdf_prop,inference_graph.csv,1,0,1,1,simple_rdf_prop,74280,801,128995,6.009720112295046e-11,128995,0,4.092180283484631,1.7642680582257622,0,0,0
38,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_simple_rdf_prop,inference_valid.csv,1,0,1,1,simple_rdf_prop,28204,539,23260,1.8483345396796763e-09,23260,0,1.6874637260591991,1.4433757368910953,0,0,0
