,prop,subevent,role,causation,MRR,H@1,H@3,H@10,exp_count,syntax,method,td
10,0,1,0,0,0.4484,0.3169,0.5134,0.7217,6,simple_rdf_prop,SimKGC,simple-triple+text
14,1,0,0,1,0.3184,0.2452,0.3472,0.4597,12,simple_rdf_reification,SimKGC,simple-triple+text
16,1,0,0,0,0.2353,0.1479,0.2513,0.4275,4,simple_rdf_prop,SimKGC,simple-triple+text
23,0,0,0,1,0.4601,0.3462,0.5242,0.6747,24,simple_rdf_prop,SimKGC,simple-triple+text
36,1,1,0,0,0.3421,0.2581,0.3696,0.5189,1,simple_rdf_prop,SimKGC,simple-triple+text
43,0,0,0,0,0.4347,0.3398,0.4708,0.6651,10,simple_rdf_prop,SimKGC,simple-triple+text
56,1,1,0,1,0.3298,0.2429,0.3605,0.5128,3,simple_rdf_prop,SimKGC,simple-triple+text
61,0,1,0,1,0.4185,0.3123,0.4684,0.6336,18,simple_rdf_prop,SimKGC,simple-triple+text
