,td,dataset,file,prop,subevent,role,causation,syntax,entities,relations,statements,density,3_statements,5_statements,in_degree_3,out_degree_3,in_degree_5,in_degree_simple_hr,out_degree_simple_hr
18,simple-triple+text+hr-triple,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star,inductive_val,0,0,0,1,hyper_relational_rdf_star,226,5,146,4.6913116907487336e-05,100,46,1.0526315789473684,2.6315789473684212,1.4838709677419355,1.0,1.2105263157894737
19,simple-triple+text+hr-triple,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star,inductive_ts,0,0,0,1,hyper_relational_rdf_star,198,6,122,6.718624025799516e-05,77,45,1.0266666666666666,2.4838709677419355,1.4516129032258065,1.0,1.2162162162162162
20,simple-triple+text+hr-triple,kg_base_prop_0_subevent_1_role_1_causation_1_syntax_hyper_relational_rdf_star,transductive_train,0,1,1,1,hyper_relational_rdf_star,402482,8,1287501,6.032604447416354e-13,787637,248761,34.56497125554044,1.9665038799173082,275.4828349944629,1.0,1.894528007311222
21,simple-triple+text+hr-triple,kg_base_prop_0_subevent_1_role_1_causation_1_syntax_hyper_relational_rdf_star,inductive_train,0,1,1,1,hyper_relational_rdf_star,70368,9,144354,4.798907235228342e-11,118201,25203,26.372378402498885,1.7017377157747735,40.91396103896104,1.0,1.434923707583694
22,simple-triple+text+hr-triple,kg_base_prop_0_subevent_1_role_1_causation_1_syntax_hyper_relational_rdf_star,inductive_val,0,1,1,1,hyper_relational_rdf_star,24894,6,20278,2.43192267777722e-09,10172,10106,5.187149413564508,1.1064940715761993,19.10396975425331,1.0,1.2750441584658088
23,simple-triple+text+hr-triple,kg_base_prop_0_subevent_1_role_1_causation_1_syntax_hyper_relational_rdf_star,inductive_ts,0,1,1,1,hyper_relational_rdf_star,16623,7,13275,5.674543642560496e-09,6578,6697,5.56043956043956,1.0979803037890168,13.779835390946502,1.0,1.255765985374086
24,simple-triple+text+hr-triple,kg_base_prop_1_subevent_1_role_1_causation_1_syntax_hyper_relational_rdf_star,transductive_train,1,1,1,1,hyper_relational_rdf_star,1140707,177,5202602,3.6945265585158254e-14,2269526,706883,41.28975084420918,1.9976782673816438,698.5009881422925,1.0,1.8633026773264165
25,simple-triple+text+hr-triple,kg_base_prop_1_subevent_1_role_1_causation_1_syntax_hyper_relational_rdf_star,inductive_train,1,1,1,1,hyper_relational_rdf_star,159993,113,333513,8.990305838433527e-12,274648,57544,26.218767935718386,1.7401608796957635,76.11640211640211,1.0,1.4370192787933274
26,simple-triple+text+hr-triple,kg_base_prop_1_subevent_1_role_1_causation_1_syntax_hyper_relational_rdf_star,inductive_val,1,1,1,1,hyper_relational_rdf_star,69325,6,56695,3.1110749984438794e-10,28163,28532,5.6871970920840065,1.0892670663314639,44.1671826625387,1.0,1.2654455138155851
27,simple-triple+text+hr-triple,kg_base_prop_1_subevent_1_role_1_causation_1_syntax_hyper_relational_rdf_star,inductive_ts,1,1,1,1,hyper_relational_rdf_star,24349,7,19615,2.5991023090489892e-09,9784,9831,5.130571578395386,1.0937954164337618,18.584120982986768,1.0,1.2665550115949498
