,td,dataset,file,prop,subevent,role,causation,syntax,entities,relations,statements,density,3_statements,5_statements,in_degree_3,out_degree_3,in_degree_5,in_degree_simple_hr,out_degree_simple_hr
22,simple-triple+text,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp,valid.txt,0,0,0,1,simple_rdf_sp,515,73,565,3.132586733495184e-06,565,0,1.2098501070663812,3.304093567251462,0,0,0
23,simple-triple+text,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp,test.txt,0,0,0,1,simple_rdf_sp,425,67,479,4.358418939945345e-06,479,0,1.2473958333333333,3.1103896103896105,0,0,0
24,simple-triple+text,kg_base_prop_1_subevent_0_role_1_causation_0_syntax_simple_rdf_prop,train.txt,1,0,1,0,simple_rdf_prop,407328,1025,647448,2.3855592781532502e-12,647448,0,2.3714633940404037,3.0398194899980706,0,0,0
25,simple-triple+text,kg_base_prop_1_subevent_0_role_1_causation_0_syntax_simple_rdf_prop,valid.txt,1,0,1,0,simple_rdf_prop,48708,722,74945,1.7803880561403177e-10,74945,0,2.2758337390457646,3.071833415475604,0,0,0
26,simple-triple+text,kg_base_prop_1_subevent_0_role_1_causation_0_syntax_simple_rdf_prop,test.txt,1,0,1,0,simple_rdf_prop,25891,626,39438,6.429396873118381e-10,39438,0,2.2301461425172766,3.080431891088334,0,0,0
27,simple-triple+text,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_simple_rdf_prop,train.txt,1,0,1,1,simple_rdf_prop,408660,1026,649444,2.3709182645809477e-12,649444,0,2.3672154983140508,3.040241911267923,0,0,0
28,simple-triple+text,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_simple_rdf_prop,valid.txt,1,0,1,1,simple_rdf_prop,48970,723,75334,1.7620488507477236e-10,75334,0,2.2695767674938114,3.072289648972253,0,0,0
29,simple-triple+text,kg_base_prop_1_subevent_0_role_1_causation_1_syntax_simple_rdf_prop,test.txt,1,0,1,1,simple_rdf_prop,26134,630,39790,6.316145438343968e-10,39790,0,2.2195340001117505,3.0812131554452376,0,0,0
30,simple-triple+text,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_simple_rdf_reification,train.txt,0,1,1,0,simple_rdf_reification,893172,10,2359915,1.7955904154520142e-13,2359915,0,5.935670970192238,3.357271401643134,0,0,0
31,simple-triple+text,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_simple_rdf_reification,valid.txt,0,1,1,0,simple_rdf_reification,242774,10,624056,2.5677508037972492e-12,624056,0,6.475490806458307,3.7265083838914634,0,0,0
32,simple-triple+text,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_simple_rdf_reification,test.txt,0,1,1,0,simple_rdf_reification,85913,11,183586,2.967022782345792e-11,183586,0,3.9617177384548987,3.4372320308550672,0,0,0
33,simple-triple+text,kg_base_prop_0_subevent_1_role_1_causation_1_syntax_simple_rdf_reification,train.txt,0,1,1,1,simple_rdf_reification,901563,11,2379672,1.7658987487493814e-13,2379672,0,5.9159053223252265,3.3571901183222423,0,0,0
34,simple-triple+text,kg_base_prop_0_subevent_1_role_1_causation_1_syntax_simple_rdf_reification,valid.txt,0,1,1,1,simple_rdf_reification,244818,11,629162,2.5262424662551146e-12,629162,0,6.466340520874016,3.725828324401149,0,0,0
35,simple-triple+text,kg_base_prop_0_subevent_1_role_1_causation_1_syntax_simple_rdf_reification,test.txt,0,1,1,1,simple_rdf_reification,86664,12,185145,2.9172659560537906e-11,185145,0,3.9565124479111016,3.4362472160356345,0,0,0
36,simple-triple+text,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_prop,train.txt,0,1,0,1,simple_rdf_prop,10249,227,15183,4.33795273678163e-09,15183,0,1.6367949962256012,4.691808346213292,0,0,0
37,simple-triple+text,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_prop,valid.txt,0,1,0,1,simple_rdf_prop,1318,119,1565,4.0829241903050965e-07,1565,0,1.2723577235772359,4.195710455764075,0,0,0
38,simple-triple+text,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_prop,test.txt,0,1,0,1,simple_rdf_prop,727,91,887,1.2710211002212847e-06,887,0,1.3730650154798762,3.359848484848485,0,0,0
39,simple-triple+text,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_simple_rdf_sp,train.txt,0,1,1,0,simple_rdf_sp,398714,911,626984,2.5438241356812632e-12,626984,0,2.3413959220255434,3.0075695433809666,0,0,0
40,simple-triple+text,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_simple_rdf_sp,valid.txt,0,1,1,0,simple_rdf_sp,41694,639,63521,2.478365455111179e-10,63521,0,2.2381522849793876,3.012329871484801,0,0,0
41,simple-triple+text,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_simple_rdf_sp,test.txt,0,1,1,0,simple_rdf_sp,27783,603,41940,5.685165969324209e-10,41940,0,2.236680710362114,3.0257557174807013,0,0,0
42,simple-triple+text,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_simple_rdf_prop,train.txt,0,1,1,0,simple_rdf_prop,396907,909,625178,2.558542446696323e-12,625178,0,2.3425598405251877,3.0119529398161533,0,0,0
43,simple-triple+text,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_simple_rdf_prop,valid.txt,0,1,1,0,simple_rdf_prop,41673,637,63501,2.4799268514625676e-10,63501,0,2.238315121607332,3.012810172225649,0,0,0
44,simple-triple+text,kg_base_prop_0_subevent_1_role_1_causation_0_syntax_simple_rdf_prop,test.txt,0,1,1,0,simple_rdf_prop,27770,601,41928,5.688420679988529e-10,41928,0,2.236875800256082,3.0261999278238902,0,0,0
